"TSID","MSRP","Seating","Doors","Width","Height","Length","Wheelbase","Front_Head_Rm_in","Front_leg_room_IN","Front_shoulder_room_IN","Rear_head_room_IN","Rear leg room_IN","Rear shoulder room_IN","Fuel_Type","Engine_Type_Fuel","Fuel_Tank_Capacity_gal","Range_City_miles","Range_Hwy_miles","Mileage_City","Mileage_Hwy","Pass_Vol","Curb_weight","Cargo_Capacity_CUFT","Drive_Type","Transmission","Engine_Size","CAM_Type","Engine_Type","Cylinders","Engine_Valves","Engine_Torque_FTLBS","Engine_Torque_RPM","Horsepower","Horsepower (RPM)","Turning_circleFT","SmallOLFront","ModerateOLFront","Side","Roof","HeadRestraintsSeats","FrontCrashOPrev","Customer_Rating","Fuel","Insurance","Financing","State_Fees","Maintenance","Repairs","Depreciation"
3803,"38640","5","4",71.10,57.10,192.70,111.00,37.50,41.90,57.60,37.50,40.00,55.00,"Regular","Gas",17.20,361.20,533.20,21,31,115.30,3549,15.20,"FWD","6-speed automatic",3.50,"DOHC","V","6","24","248","4700","268","6200",37.40,"G","G","G","G","G","ADVANCED",8.70,"10046.4","3477.6","2318.4","2318.4","1932","1545.6","17001.6"
3857,"33535","5","4",73.00,55.80,189.10,106.70,37.40,41.60,56.00,36.60,37.30,54.70,"Premium","Gas",18.50,407.00,573.50,22,31,106.80,3369,13.20,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","16","207","1700","200","5100",37.40,"M","G","G","G","G","FCW NOT QUALIFIED",8.90,"8719.1","3018.15","2012.1","2012.1","1676.75","1341.4","14755.4"
3859,"34960","5","4",73.00,55.80,188.90,106.70,37.40,41.60,56.00,36.60,41.60,56.00,"Premium","Gas",18.50,407.00,573.50,22,31,106.80,3369,13.20,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","16","207","1700","200","5100",37.40,"M","G","G","G","G","NOT AVAILABLE",8.90,"9089.6","3146.4","2097.6","2097.6","1748","1398.4","15382.4"
3947,"30290","5","4",70.60,55.60,179.10,105.10,38.00,42.30,55.60,35.90,34.00,53.50,"Premium","Gas",13.20,290.40,409.20,22,31,101.60,2978,12.30,"FWD","6-speed manual",2.40,"DOHC","Inline","4","16","170","4400","201","7000",36.10,"G","G","G","G","G","NOT AVAILABLE",8.60,"7875.4","2726.1","1817.4","1817.4","1514.5","1211.6","13327.6"
3948,"18330","5","4",70.60,55.60,179.09,105.10,38.00,42.30,55.60,35.90,34.10,53.50,"Premium","Gas",13.20,290.40,409.20,22,31,101.60,2978,12.30,"FWD","6-speed manual",2.40,"DOHC","Inline","4","16","170","4400","201","7000",36.10,"G","G","G","G","G","NOT AVAILABLE",8.40,"4765.8","1649.7","1099.8","1099.8","916.5","733.2","8065.2"
3964,"19930","5","4",70.60,55.60,179.10,105.10,37.90,42.30,55.60,35.90,34.00,53.50,"Premium","Gas",13.20,290.40,409.20,22,31,101.60,2978,12.30,"FWD","6-speed manual",2.40,"DOHC","Inline","4","16","170","4400","201","7000",36.10,"G","G","G","G","G","NOT AVAILABLE",8.40,"5181.8","1793.7","1195.8","1195.8","996.5","797.2","8769.2"
4012,"37975","5","4",73.40,58.20,194.10,112.20,37.90,44.30,57.70,36.50,37.00,55.30,"Regular","Gas",17.50,385.00,542.50,22,31,111.90,3874,15.40,"AWD","6-speed automatic",2.00,"DOHC","Inline","4","16","270","3000","231","5500",38.00,"A","G","G","G","G","BASIC",8.90,"9873.5","3417.75","2278.5","2278.5","1898.75","1519","16709"
4022,"23925","5","4",69.00,56.50,179.40,105.10,37.90,42.00,56.60,36.20,36.20,53.30,"Premium","Flex-fuel",13.20,290.40,409.20,22,31,104.60,3002,12.50,"FWD","6-speed manual",2.40,"DOHC","Inline","4","16","174","4400","205","7000",37.70,"G","G","G","G","G","BASIC",8.70,"6220.5","2153.25","1435.5","1435.5","1196.25","957","10527"
4024,"21430","5","4",69.40,58.70,180.00,103.70,39.60,42.30,54.70,36.90,36.10,54.30,"Regular","Gas",15.50,341.00,480.50,22,31,105.80,2966,12.30,"FWD","5-speed manual",2.40,"DOHC","Inline","4","16","167","4100","168","6000",32.80,"A","G","G","G","G","NOT AVAILABLE",8.70,"5571.8","1928.7","1285.8","1285.8","1071.5","857.2","9429.2"
4034,"18430","5","4",69.40,58.30,182.10,103.70,39.60,42.30,54.70,36.90,36.10,54.30,"Regular","Gas",15.50,372.00,527.00,24,34,105.80,2888,12.30,"FWD","5-speed manual",2.00,"DOHC","Inline","4","16","145","4200","148","6000",32.80,"A","G","G","G","G","NOT AVAILABLE",8.70,"4791.8","1658.7","1105.8","1105.8","921.5","737.2","8109.2"
